dia_semana,ano,data,adversario,publico_pagante,publico_presente,renda_bruta,estadio,campeonato,placar,horario
"domingo,",2011,23 de janeiro,Cruzeiro,1.243,Não disponível,"R$ 12.820,00",Parque do Sabiá,Amistoso 2011,0 × 3,às 17:00
"domingo,",2011,30 de janeiro,Caldense,4.151,Não disponível,"R$ 82.980,00",Arena do Jacaré,1ª rodada do Campeonato Mineiro 2011,3 × 0,às 17:00
"domingo,",2011,6 de fevereiro,Cruzeiro,4.144,Não disponível,"R$ 55.230,00",Castor Cifuentes,2ª rodada do Campeonato Mineiro 2011,0 × 1,às 19:30
"sábado,",2011,12 de fevereiro,Atlético-MG,9.793,Não disponível,"R$ 267.256,88",Arena do Jacaré,3º rodada do Campeonato Mineiro 2011,3 × 4,às 19:30
"quarta-feira,",2011,16 de fevereiro,Estudiantes,10.955,Não disponível,"R$ 377.267,50",Arena do Jacaré,1ª Rodada - Fase de Grupos da Copa Libertadores da América 2011,5 × 0,às 22:00
"sábado,",2011,19 de fevereiro,Ipatinga,1.664,2.045,"R$ 25.108,13",Arena do Jacaré,4ª rodada do Campeonato Mineiro 2011,2 × 0,às 17:00
"terça-feira,",2011,22 de fevereiro,Guarani-PAR,12.067,13.271,"R$ 275.668,02",Arena do Jacaré,2ª rodada - Fase de Grupos da Copa Libertadores da América 2011,4 × 0,às 19:15
"sábado,",2011,26 de fevereiro,Cruzeiro,5.000,Não disponível,"R$ 111.350,00",Arena do Dragão,5ª rodada da Campeonato Mineiro 2011,1 × 2,às 16:00
"quarta-feira,",2011,2 de março,Cruzeiro,Não disponível,Não disponível,Não informado,Manuel Toro,3ª rodada - Fase de Grupos da Copa Libertadores da América 2011,0 × 0,às 19:30
"quarta-feira,",2011,9 de março,Cruzeiro,4.349,Não disponível,"R$ 60.880,00",Mário Helênio,10ª rodada do Campeonato Mineiro 2011,0 × 0,às 22:00
"domingo,",2011,13 de março,Democrata-GV,1.217,Não disponível,"R$ 19.587,50",Arena do Jacaré,6ª rodada do Campeonato Mineiro 2011,7 × 0,às 16:00
"quarta-feira,",2011,16 de março,Tolima,8.198,Não disponível,"R$ 187.000,00",Arena do Jacaré,4ª rodada - Fase de Grupos da Copa Libertadores da América 2011,6 × 1,às 21:50
"sábado,",2011,19 de março,Funorte,3.641,Não disponível,"R$ 46.062,50",Arena do Jacaré,7ª rodada do Campeonato Mineiro 2011,3 × 0,às 16:00
"domingo,",2011,27 de março,Cruzeiro,13.252,Não disponível,"R$ 385.850,00",Dilzon Melo,8ª rodada do Campeonato Mineiro 2011,2 × 3,às 16:00
